"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_F08";"missing_F09";"missing_F10";"missing_F11";"missing_F12";"missing_F13";"missing_F14";"missing_F15";"missing_F16"
"honors_program";TRUE;TRUE;NA;FALSE;FALSE;6;"NA, H, 0, S, C";"character";0,969268279457445;0,969408330612794;0,96841737916594;0,962306920762287;0,960751062081505;0,966136599691988;0,976474106564322;0,969870588431239;0,971320225614225;0,975361040679087
"deans_list";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"concurrent_law";TRUE;TRUE;NA;FALSE;FALSE;2;"NA, 0";"numeric";0,91864005019637;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828957012204837;0,601532355859332
"ucdc";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 0, 1";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"absentia";TRUE;TRUE;NA;FALSE;FALSE;2;"NA, 0";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"rotc";TRUE;TRUE;NA;FALSE;FALSE;7;"NA, 0, 9, 3, 8";"numeric";0,916817720558047;0,999596719989246;0,999323852730763;0,999338014042126;0,994055840137065;0,996060313026038;0,992374021831232;0,970603420995653;0,826232433638189;0,59792194906846
"reduced_ed_fee";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 0, 1";"numeric";0,918634240431317;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828957012204837;0,601491015323559
"education_abroad";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"education_opportunity";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"esl_program";TRUE;TRUE;NA;FALSE;FALSE;2;"0, 1";"numeric";0;0;0;0;0;0;0;0;0;0
"sport";TRUE;TRUE;NA;FALSE;FALSE;8;"Z, NA, A, 1, 0";"character";0,51740411951074;0,997349874215044;0,998625894259292;0,998355065195587;0,0997220231122922;0,289853515275241;0,321802987256808;0,362902016955081;0,441636659124948;0,398508984676441
"sport_gender";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"entry_level_writing";TRUE;TRUE;NA;FALSE;FALSE;5;"NA, Requirement satisfied, Course passed, Test passed, Requirement not satisfied";"character";0,918638113608019;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997081050105655;0,994118526641081;0,972768608117786;0,828941078996845;0,601491015323559
"american_history_desc";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, Requirement satisfied, Requirement not satisfied, Course passed";"character";0,918643923373072;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997081050105655;0,994118526641081;0,972768608117786;0,828941078996845;0,601532355859332
"american_intitutions_desc";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, Requirement satisfied, Course passed, Requirement not satisfied";"character";0,918638113608019;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997081050105655;0,994118526641081;0,972768608117786;0,828941078996845;0,601491015323559
"probation_status";TRUE;TRUE;NA;FALSE;FALSE;3;"N, Y, NA";"character";0,000152990479731666;1,92038100359111e-05;0;0;1,74828231262784e-05;7,16306722538591e-05;3,32286630447424e-05;1,66552855548708e-05;4,77996239762914e-05;0,000923271965604674
"registration_status";TRUE;TRUE;NA;FALSE;FALSE;7;"Continuing, New, Returning, Withdraw, Visitor";"character";1,93658835103375e-06;0;0;0;0;0;0;0;0;1,37801785911145e-05
"veteran_status";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 0, 1";"numeric";0,918632303842966;0,999596719989246;0,999323852730763;0,999338014042126;0,99788457840172;0,997063142437592;0,994118526641081;0,972735297546676;0,828941078996845;0,601491015323559
"pell_eligible_flag";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"major_count";TRUE;TRUE;NA;FALSE;FALSE;4;"1, 2, 3, 4";"numeric";0;0;0;0;0;0;0;0;0;0
"netpayer_fee_assessed";TRUE;TRUE;NA;FALSE;FALSE;41;"0, 5150.54, 5207.0498, 5207.04, 5149.5298";"numeric";0;0;0;0;0;0;0;0;0;0
